Pau;Avenue Léon Blum;247979973,766490881,418951754,8935777213,459807945,459807892,288408189,3394211708,8327420312,3394211714,3394211719,2447443796,8935777197,459807884,8327420303,418952263,288408190,2917113983,287098001,287097999,2917113985,287097981,287098017,2917124712,2917124717,2917124740,8213504028,2917124759,2628327442,287097957,287097964,2628327444,8786870151,2917124743,7296620316,2917124716,287097978,287097934,2628327452,418951773,418951788,2430899495,418951749,418951747,2430899498,418951756,418951762,2628327453,2430899512,2430899510,2430899514,286832914,287098021,2430899516
Pau;Allée Flore Tristan;247979974,8482723465
Pau;Avenue Péboué;247979975,369735714,459289697,8908371060,286972164,7944817276,8908371062,459278339,459278320,8908371093,459278321,459289679,459278308,459278307,286693868
Pau;Avenue Larribau;247979975,459619406,459619366,459619359,459619410,459619396,6432664085,459619531,7182233581,459619655,459619670,1945774023,5089981728,5089981730,2430899363,1945774162,5825114893,459619622,1842641143,459619688,7201192045,341467979,5398411406
Pau;Avenue Alfred Nobel;7199418145,7199418156,7199401951,341467916,7199418313,382647023,7199418162,2630252070,7199418159,2430899364,2430899370,7199418177,7199418136,7199401955,7199418139,7199418170,7199418134,7199418138,7199418281,2896710354,7199418135,2896710355,312545109,2430899385,7199418137,8426448088,428071966,286779755,286779757,459507454,286779746,7199418192,459507446,7199418190,7199418191,7199418189,459507438,459507424,7076679628,7076679632,459619699,7076679637,459507420,459507401,459619363,247979976,286779744,2309868309,528165203,446277343,5254767631,446277342,2637251493,2891993186,2891993187,2229963697,2229963701,7432784314,286779745,6718214030,459492989,459492993,369735733,7432784322
Pau;Rue de Livron;250401829,322820283,250404025,340008878,288236827
Pau;Rue Victor Hugo;250401829,250405385,250401834,8564121273
Pau;Avenue de la Résistance;250401834,250407520,339376872,3150740572,250402941,250402929,250403083,250408818,339501189,339308957,339308955,2310040344,2310040337,322107573,2310040330
Pau;Rue des Trois Frères Bernadac;250401834,8839301231,340008800,340008801
Pau;Rue Rauski;250402929,250405377,322820282
Pau;Rue de Segure;250402929,250409665
Pau;Avenue du 143e Régiment d’Infanterie Territoriale;250402934,340008881,340008889,288236826
Pau;Avenue Gaston Phoebus;250402941,250405381,322820283,7007049238,250402936,8564121273,8098642201,250402935,250402934,307636558,307636700,307636562,307636564,307638205,339301710,307636699,339301714
Pau;Rue Henri d'Albret;250402934,356025244
Pau;Avenue Edmond Rostand;250402935,340008877,340008875,250404025
Pau;Rue Jean-Jacques Rousseau;250402936,8947251404,6375697981,6375697973,8947251396,356025244
Pau;Rue Manescau;250402941,250409666
Pau;Rue de Boyrie;250403078,322820281,2716538553,250405373,250403083
Pau;Avenue Béziou;250403078,300840848,428209506,356025196,365706694,394055485,300840849
Pau;Allée Lamartine;250404025,2310040324,250404033,6837525743,288234166
Pau;Rue de l'Amiral Ducasse;250404025,6837525745,250404029
Pau;Rue Michelet;250404029,250405385,250405381,250405377,250405373,2716538557,2716538561,322820279,6837525743,250405395
Pau;Rue Jeanne d'Arc;250404029,250407520
Pau;Rue Montpensier;250408818,6324995117,250409665,250409666,7392777067,250410142,3126225742,250410150,340008807,250408828,250409377,339675095,339675099
Pau;Rue Raymond Planté;250408828,339803894,339803896,339803886
Pau;Rue d'Orléans;250409371,8838355942,250409372,250409374,250409377,286986547
Pau;Rue de Monpezat;250409371,340008805,340008806,340008803,340008801,250410142,340008819,340008820
Pau;Rue Faget de Baure;250409372,340008847,2309510841,340008846
Pau;Place Albert 1er;250409372,340008816,250409374
Pau;Rue Mourot;250409374,8753991163,340008844
Pau;Rue Nogué;250409377,307640468,2858207231,2309510847,296917285,2970387516
Pau;Rue Bourbaki;250409665,339803835,3003625404,339803854,322107545
Pau;Rue Pasteur;250410108,7007049228,250410145,339803852,250410588,250410130,250410152,250410142
Pau;Rue Carnot;250410108,339803886,2858207233,296917285,2309510847,2858207229,339675114,339675095,339803881,296917290,339803868,339803865,339803863,7004243964,6150139118
Pau;Rue Louis Lacaze;250410108,339803902
Pau;Rue de la Gendarmerie;250410130,339803857,339803854
Pau;Rue O'Quin;250410145,2941719630,250410157,250410150
Pau;Rue de l'Édit de Nantes;250410152,250410154,250410157
Pau;Rue Bargoin;250410154,250410588
Pau;Rue René Fournets;252152609,340008828,7007117955,340008825,6960583528
Pau;Rue du Maréchal Joffre;252152609,339262446,339262445,286991896,340008840,307612550,5485497987,252152612
Pau;['Place Georges Clemenceau', 'Rue Alfred de Lassence'];252152612,307360935
Pau;Rue du Maréchal Foch;252152612,252152613,353108417,339465300,364990056,307612552
Pau;Rue Serviez;252152613,339675079,6288610487,465205776,6949409659
Pau;Cours Léon Bérard;252258520,8165425628,3114424179,356025123,356025125,2467429470,276194473,1840379675,2467429469,2626856334,356025143,356025149,2626856337,356025145,7699785547,7699785545,287712220,8173375571,2309510881,252258523,286823660,2309510882,674163140,7699785544,702397751,252258522,252258521,7699785546,356025157,286823664,286823655,674163136,674163137,286823688,286823666,2309510866,2309510865,339226322,2309510859,702404279,286823684,286823669,6388862652,7164104986,7164085883,2309510868,7376236582
Pau;Avenue du Laü;252258521,5738774286,7152279300,6815886543,6815886545,6815886541
Pau;Rond-Point des Droits de l'Homme;252258523,286823661,252258524,286823662,286823654,286823655,286823664,286823657,286823659,286823660
Pau;Avenue Fouchet;252258524,2309510876,2309510877,286823661,2874058608,322107497,3294044159,3294047862,322107492,322107490,2443807640,2443807641,322107487,365706799
Pau;Cours Lyautey;5108274161,6387866874,2270254578,252259482,2374539821,252259488,7294338847,6388874793,6985204060,339260494,6005411791,5108274147,6005408574,6396864145,6993051306,418863924,2270254506,339260492,5814664949,252259476,3376478040,418845571,3376478039,6821846803,339499414,6150139092
Pau;Rue Pierre Bonnard;252259482,6387893136,7004247590,418893996,8542451933,7235355937,252259590,418893980,252259485
Pau;Rue Paul et Henri Courteault;252259485,8685740707,8887191266,564638428,8887191260,418863973,418863974,8542451928,2562891287,418893986,418863971,8542451922,8542451921,286819669,8040505244,418863978,286819670
Pau;Rue d'Isly;252259488,6387893135,7004247588,5394352767,252259825,2374539811,252259490
Pau;Rue Golda Meir;252259490,7325539801,8887191314,7325539805,5505544813,252259591,2374539812,252259590
Pau;Avenue de Saragosse;252259591,418863937,564638423,418863948,418863953,5129217011,286825152,370317035,6388960923,2270254543,418863947,252259826,2270254547,418863945,7992263924,956500351,7004243984,6396864147,6396864145
Pau;Rue André Ampère;252259825,7325539798,5108274143,252259826
Pau;Boulevard d'Alsace Lorraine;6150139097,2386321387,286678884,7044802377,2324306561,340280215,8952393399,8952393371,2526454038,286826212,252260198,339499434,339499429,252260195,339499425,339499421,6268656465,2326390477,7037090681,6150139095,6150139096,7004243967,6150139119,6845553040,6417025393,6150139092,6150139093,6417025394,6845553039,6150139118,7004243966,6150139120,322107543,339260484,252260174,2716538593,6762672530,252260170,2310040339,339308955,322107575,322107577
Pau;Rue du Père Pardies;252260174,339245534,322107558
Pau;Rue Viard;252260174,2716538588,339803831,7376456781,6324995120,6919988618,339803835,339803838,7392777067
Pau;Rue Péré;252260195,340280201
Pau;Rue d'Alsace;252260198,418845539,418845544,418845533
Pau;Rond-Point des Combattants d'Indochine;276194471,3426690391,3426690390,276194473,1840379675,276194474
Pau;Rond-Point des Combattants d'Afrique du Nord;276194739,276194740,276194742,276194743
Pau;Boulevard Olof Palme;276194740,286834134,276194742,286834133,286834132,286834131,2283379680,417999997,418000001,286834108,417999998,2283213259,286834106,8144172971,286834105,341468001,286832981,286832984
Pau;Avenue des Martyrs du Pont-Long;276194743,276194822,276194823,5812602372,1138856133,339264335,8779930570,7529458649,2643575702,7033295259
Pau;Avenue Didier Daurat;276194755,339264332,771609326,3036716451,7312003856,2925653705,276194757,5108250671,3918784454,5108250668,339264333,418000029,505823731,3918784456,2643575660,505823736,2643575678,7033295260
Pau;Avenue d'Ossau;280827004,6654000424,339777429,339777414,2309661252,286680653
Pau;Pont Lalanne;280827004,419895499
Pau;Avenue Gaston Lacoste;280827004,339465304,6654000427,339465307,283016967,280827036,280827047,283017172,3037058149,339827558,8170158280,5856146920,5856146919,287990296,9036187197
